face_mood,messages_sent,messages_received,calls_incoming,calls_outgoing,sleep_hours,stress_level
neutral,21,16,4,3,6.6,Medium
happy,9,13,1,2,7.8,Low
happy,14,6,0,2,9.0,Low
sad,32,34,4,6,5.9,Medium
happy,10,11,1,0,8.7,Low
sad,32,28,5,6,5.8,Medium
happy,15,5,0,0,8.5,Low
neutral,20,18,2,3,6.6,Medium
sad,35,27,4,5,4.6,Medium
sad,29,26,4,4,5.0,Medium
sad,29,34,5,5,4.7,Medium
neutral,24,21,4,4,6.9,Medium
neutral,16,15,2,3,6.3,Medium
angry,40,33,7,8,3.6,High
happy,8,12,1,0,8.4,Low
sad,34,35,6,5,5.0,Medium
sad,28,34,5,6,5.8,Medium
neutral,25,24,3,3,6.8,Medium
happy,5,8,3,3,9.1,Low
sad,28,31,6,6,5.1,Medium
happy,12,15,1,2,8.2,Low
neutral,22,15,2,4,6.4,Medium
happy,8,15,1,1,8.7,Low
angry,47,44,5,6,3.6,High
happy,6,12,0,0,8.4,Low
angry,47,31,8,8,3.0,High
angry,36,38,8,7,3.8,High
sad,33,34,6,4,5.5,Medium
angry,45,45,8,6,3.7,High
angry,39,44,6,8,3.3,High
sad,34,35,4,6,4.5,Medium
sad,30,28,6,6,5.9,Medium
happy,7,14,1,3,9.1,Low
sad,27,33,4,5,5.6,Medium
neutral,20,23,3,2,6.3,Medium
angry,42,44,5,6,3.4,High
angry,50,34,6,7,4.5,High
sad,26,35,6,4,5.1,Medium
neutral,25,22,2,3,6.7,Medium
sad,26,35,4,4,5.3,Medium
angry,45,36,7,5,3.0,High
sad,32,26,6,4,5.3,Medium
neutral,21,24,4,3,7.2,Medium
sad,33,30,6,4,4.8,Medium
sad,33,34,6,5,5.6,Medium
sad,35,33,5,5,5.1,Medium
neutral,23,20,3,2,6.6,Medium
angry,45,38,5,5,3.3,High
angry,38,39,7,8,4.1,High
angry,38,32,6,5,3.2,High
sad,28,30,5,5,5.0,Medium
neutral,20,20,4,3,7.0,Medium
angry,36,42,5,6,4.2,High
sad,35,32,4,6,5.1,Medium
sad,29,28,6,5,5.7,Medium
sad,30,32,4,5,5.3,Medium
